,sm,wfm,mae
camourflage_00012,0.9374203177214108,0.9605253733167162,0.02419755877034358
camourflage_00018,0.8191707886443136,0.8725301234822506,0.01750237159506708
camourflage_00061,0.9723514174099791,0.9802276462241304,0.006178385416666667
camourflage_00064,0.8259984739041706,0.7999236626942667,0.05657750273105255
camourflage_00071,0.6561325664919877,0.6201466564849807,0.08722575029180762
camourflage_00079,0.9337886560182493,0.9489357378997457,0.0204638124362895
camourflage_00087,0.9724533349023813,0.9767079863316046,0.005503972653362897
camourflage_00088,0.9032499732673115,0.8805219559906562,0.019313993174061433
camourflage_00090,0.9457092198643995,0.9649517352312142,0.02237152411122844
camourflage_00097,0.9578947497983503,0.9650911524608217,0.006513512954653543
camourflage_00098,0.8333918165164409,0.9759293179168615,0.0030514831230821684
camourflage_00100,0.9496096051188627,0.9470717482774754,0.009598634651600753
camourflage_00102,0.7621143234545469,0.7556162209655019,0.14340954609450912
camourflage_00112,0.9205160859651431,0.938438881767365,0.027985026041666666
camourflage_00114,0.9362360554392446,0.962863144250725,0.01535923141186299
camourflage_00120,0.9149619240130561,0.9664489347821169,0.019771485345255836
camourflage_00122,0.8906816632896055,0.8591146556393634,0.03475154842342342
camourflage_00124,0.8935940615463642,0.9225615363295862,0.041745908320139406
camourflage_00129,0.9539882373607844,0.9600383555656844,0.010699588477366255
camourflage_00135,0.9489587592640706,0.9459924671082323,0.006520232815964523
camourflage_00138,0.9437116822547176,0.9693667052079811,0.023268888888888888
camourflage_00141,0.9598354582567598,0.9657646858318334,0.004927790788446526
camourflage_00145,0.9318362867949024,0.9585079006791395,0.03137137452711223
camourflage_00147,0.9657506855769511,0.9571357430262041,0.003975
camourflage_00153,0.9138095530541743,0.9171427681388012,0.008709016393442622
camourflage_00156,0.8632453552756596,0.8674591370555703,0.043983130271790065
camourflage_00160,0.9693401415414279,0.9821736180495387,0.009098191214470284
camourflage_00166,0.8214109700644504,0.8731982330177851,0.10886036036036036
camourflage_00169,0.8343506544420138,0.865910966685169,0.03553309101923368
camourflage_00171,0.9563831784909614,0.9560889451631248,0.008021077283372365
camourflage_00175,0.5436397066909289,0.2529350712139583,0.050720038084659025
camourflage_00183,0.9291526834212827,0.9582441234322477,0.030953722334004025
camourflage_00196,0.949987074617191,0.9514948874617806,0.015053210428452743
camourflage_00197,0.9389350252766318,0.9528102420867178,0.02287496961348351
camourflage_00205,0.9347830382308542,0.9409415490578968,0.012729465362454777
camourflage_00207,0.96727887443205,0.9644144764037409,0.0046918986549890525
camourflage_00208,0.39631775944639075,0.1341185068714676,0.2482720533173581
camourflage_00209,0.33587594253326225,0.31417831959613746,0.5405489864864865
camourflage_00224,0.9630713722405138,0.960989040253957,0.006103873078330893
camourflage_00232,0.9682208347115513,0.978015624972237,0.007467228464419475
camourflage_00235,0.8985707793600979,0.9206369214960805,0.011978251093577532
camourflage_00257,0.9569581621908432,0.9770043395303255,0.014041385135135136
camourflage_00259,0.9582618275910961,0.9592707005195766,0.005047523041474654
camourflage_00266,0.9498257084181849,0.9688924283542678,0.016527777777777777
camourflage_00269,0.8071974934962356,0.77019141390773,0.058515625
camourflage_00270,0.793134544157408,0.8249531509624642,0.017526917526917526
camourflage_00273,0.9356199268140256,0.9459566183967345,0.01393669243356091
camourflage_00275,0.8601497450858653,0.8721784302133456,0.02751207729468599
camourflage_00285,0.5165332270598026,0.36191889992460086,0.11148271984328512
camourflage_00310,0.23308747335419006,0.49565746194769766,0.5266087509691271
camourflage_00332,0.943754680101219,0.9558033526916743,0.013724856498492971
camourflage_00333,0.8065477432411725,0.8845416290137618,0.10172002993068684
camourflage_00337,0.9681983612345114,0.9679774487211413,0.004898516783762685
camourflage_00348,0.9209215442195378,0.9124066413305687,0.02749265114800985
camourflage_00351,0.917478760501405,0.945007336839222,0.021106770833333333
camourflage_00361,0.8970629458351372,0.8835498021800613,0.03934543606799704
camourflage_00364,0.9115395348480332,0.9433758306212023,0.03916364553569076
camourflage_00365,0.9512936323820139,0.9638935264615783,0.013436733263231686
camourflage_00381,0.9581305326646666,0.968238014685374,0.011204
camourflage_00398,0.5602229003236083,0.6104668495865463,0.026983024691358024
camourflage_00406,0.9574090160939799,0.9575579215920962,0.0098159509202454
camourflage_00408,0.7886217569121966,0.7864928638040221,0.05779106987847222
camourflage_00420,0.8102496271420281,0.8159934531072013,0.0461427656850192
camourflage_00421,0.748803707235113,0.7559784648120349,0.03138601412128832
camourflage_00422,0.897959619669089,0.888354010328888,0.025445500977492094
camourflage_00430,0.9447187463314979,0.9567025052391908,0.014343290659080132
camourflage_00435,0.8896031684233328,0.8602785491524253,0.043336852237091314
camourflage_00436,0.7157492607042677,0.6775803525897014,0.10622920363797693
camourflage_00443,0.5638029281982648,0.5225538754619519,0.29748357424441524
camourflage_00444,0.945390333074662,0.9738133459286531,0.0255375
camourflage_00449,0.8065377039396541,0.8669454209861968,0.049199945295404814
camourflage_00463,0.5825325981163032,0.2670259341619897,0.046485009881498326
camourflage_00470,0.916379401569293,0.8478895023511008,0.009777792959819388
camourflage_00471,0.9647755344964735,0.9525519161952045,0.00293329637841833
